start	end	text
0	2400	Let's do a grocery meal hair update.
2400	5120	For context, this is my hair in the middle of April.
5120	6960	Erm, not great.
6960	10000	Erm, I've actually found this thing to be the only thing that's helping my hair.
10000	12320	So, erm, I don't use any of the dermal oils or anything,
12320	14320	so I can't hang on time. I just put it in my hands.
15680	19280	Ringing, bro. Ringing, erm, and just lather it through.
19280	23200	These are the areas that, that I need it the most.
23200	26240	So I just, we're looking a bit scraggly right now,
26240	28400	but I promise you, once it's washed, it'll be a bit better.
29040	30800	Erm, not a lot of products and things don't work for me.
30800	34320	I'm not gonna lie, but er, this, erm, I'll link this one below,
34320	35680	because this is the already diluted one.
35680	37200	You don't need to dilute this one.
37200	39360	Right, once I've been in the shower and washed this out, I'll show you.
40160	41520	Right, I'm drying my hair.
41520	42480	So, I'll be two seconds.
43200	44240	Right, my hair's dry.
47120	49200	Please, just pray that.
49200	53120	Like, I know it doesn't seem like a lot, but it really, really is.
53120	55120	And I don't know what, like, well, it's far acquired right now,
55120	56400	but don't worry, we're gonna style this.
56960	61120	Honestly, the difference that this has made, since losing my hair,
61120	62480	has been, like, ridiculous.
62480	65040	Like, I am literally just getting fullness throughout,
65040	68240	and I know it doesn't seem like it, because I've got barely anyhow as it is.
68240	72240	But, like, I can't tell you, like, that was bold.
72240	74000	You can't put hairs in that bit there.
75600	76800	Like, crazy.
77760	79200	I'm not gonna even sell it to you,
79200	80960	because the results speak for themselves.
80960	83600	This ain't even an ad, or I bought this with my own money.
83600	85920	Like, I genuinely bought it with my own money.
85920	87440	Yeah, I've linked it below anyway.
87440	89680	Do you think, or done, much of a difference to me.
89680	90960	But, my hair's getting thicker.
91600	93200	And I'll do my astals too soon.
